Date,Open,High,Low,Close,"Trend Supertrend (7,3)","MACD (12,26,9)","Signal MACD (12,26,9)","MACD (12,26,9)_hist",Volume
Mon Nov 02 2020 00:00:00 GMT+0530 (India Standard Time),99.99,107.15,98.3,102.84,127.56,-9.37,-9.51,0.14,66301868
Mon Nov 09 2020 00:00:00 GMT+0530 (India Standard Time),101.41,112.25,101.41,109.29,127.56,-8.43,-9.29,0.86,109941172
Mon Nov 16 2020 00:00:00 GMT+0530 (India Standard Time),105.35,114.05,104.9,109.55,127.56,-7.58,-8.95,1.37,86073605
Mon Nov 23 2020 00:00:00 GMT+0530 (India Standard Time),107.45,112.15,104.5,108.24,127.56,-6.93,-8.55,1.61,97273524
Mon Nov 30 2020 00:00:00 GMT+0530 (India Standard Time),107.84,119.7,107.84,114.49,127.56,-5.85,-8.01,2.16,75213503
Mon Dec 07 2020 00:00:00 GMT+0530 (India Standard Time),111.17,125.45,111.17,121.01,127.56,-4.41,-7.29,2.88,96835014
Mon Dec 14 2020 00:00:00 GMT+0530 (India Standard Time),116.09,130.75,116.09,126.36,127.56,-2.81,-6.39,3.58,96504783
Mon Dec 21 2020 00:00:00 GMT+0530 (India Standard Time),121.23,126.25,114.1,121.88,127.56,-1.88,-5.49,3.61,61999716
Mon Dec 28 2020 00:00:00 GMT+0530 (India Standard Time),121.55,124.65,118.95,122.09,127.56,-1.11,-4.61,3.5,72781950
Mon Jan 04 2021 00:00:00 GMT+0530 (India Standard Time),121.82,125.7,118.55,122.58,127.56,-0.46,-3.78,3.32,83437528
Mon Jan 11 2021 00:00:00 GMT+0530 (India Standard Time),122.2,133.55,122.2,127.96,97.57,0.49,-2.93,3.42,99780989
Mon Jan 18 2021 00:00:00 GMT+0530 (India Standard Time),125.08,128.65,117.25,122.98,97.57,0.83,-2.18,3,63496888
Mon Jan 25 2021 00:00:00 GMT+0530 (India Standard Time),124.03,124.03,110,115.14,97.57,0.46,-1.65,2.11,49034767
Mon Feb 01 2021 00:00:00 GMT+0530 (India Standard Time),119.58,129.05,110.6,119.1,97.57,0.48,-1.23,1.7,104459111
Mon Feb 08 2021 00:00:00 GMT+0530 (India Standard Time),119.34,128.2,117.5,122.53,97.57,0.76,-0.83,1.59,59703744
Mon Feb 15 2021 00:00:00 GMT+0530 (India Standard Time),120.93,127.95,116.75,121.99,97.57,0.93,-0.48,1.41,76256967
Mon Feb 22 2021 00:00:00 GMT+0530 (India Standard Time),121.46,147.75,119.85,132.04,97.57,1.86,-0.01,1.87,258052115
Mon Mar 01 2021 00:00:00 GMT+0530 (India Standard Time),126.75,142.05,126.75,138.15,97.57,3.05,0.6,2.45,91967987
Mon Mar 08 2021 00:00:00 GMT+0530 (India Standard Time),132.45,140.75,132.45,136.97,97.57,3.85,1.25,2.6,58973509
Mon Mar 15 2021 00:00:00 GMT+0530 (India Standard Time),134.71,134.71,118.25,125.83,97.57,3.55,1.71,1.84,90893233
Mon Mar 22 2021 00:00:00 GMT+0530 (India Standard Time),130.27,130.27,111.8,117.71,97.57,2.63,1.9,0.73,59302048
Mon Mar 29 2021 00:00:00 GMT+0530 (India Standard Time),123.99,123.99,114.75,116.65,97.57,1.79,1.87,-0.09,41711375
Mon Apr 05 2021 00:00:00 GMT+0530 (India Standard Time),120.32,120.32,112.8,115.55,97.57,1.02,1.7,-0.68,40839570
Mon Apr 12 2021 00:00:00 GMT+0530 (India Standard Time),117.94,117.94,108.35,112.31,97.57,0.15,1.39,-1.24,38426995
Mon Apr 19 2021 00:00:00 GMT+0530 (India Standard Time),115.12,115.12,108.15,110.35,97.57,-0.69,0.98,-1.66,32378376
Mon Apr 26 2021 00:00:00 GMT+0530 (India Standard Time),112.74,119.35,111.25,115.23,97.57,-0.95,0.59,-1.54,50899446
Mon May 03 2021 00:00:00 GMT+0530 (India Standard Time),113.98,122.75,113.98,119.51,97.57,-0.8,0.31,-1.11,45344298
Mon May 10 2021 00:00:00 GMT+0530 (India Standard Time),116.75,144.45,116.75,129.93,97.57,0.15,0.28,-0.13,177779764
Mon May 17 2021 00:00:00 GMT+0530 (India Standard Time),123.34,137.25,123.34,132.43,97.57,1.1,0.45,0.66,87364648
Mon May 24 2021 00:00:00 GMT+0530 (India Standard Time),127.88,134.75,127.88,132.03,97.57,1.8,0.72,1.08,75106240
Mon May 31 2021 00:00:00 GMT+0530 (India Standard Time),129.95,139.15,129.8,134.65,98.31,2.53,1.08,1.45,70494066
Mon Jun 07 2021 00:00:00 GMT+0530 (India Standard Time),132.3,149.75,132.3,143.86,102.55,3.82,1.63,2.19,147576816
Mon Jun 14 2021 00:00:00 GMT+0530 (India Standard Time),138.08,148.75,129.85,139.63,102.55,4.44,2.19,2.25,115696478
Mon Jun 21 2021 00:00:00 GMT+0530 (India Standard Time),138.85,138.85,128.25,131.96,102.55,4.26,2.6,1.66,55845638
Mon Jun 28 2021 00:00:00 GMT+0530 (India Standard Time),135.41,135.41,128.7,131.68,102.55,4.06,2.89,1.16,69187574
Mon Jul 05 2021 00:00:00 GMT+0530 (India Standard Time),133.54,135.45,130.05,132.43,102.55,3.91,3.1,0.81,43361387
Mon Jul 12 2021 00:00:00 GMT+0530 (India Standard Time),132.98,134.15,130.05,131.51,102.55,3.67,3.21,0.46,35021653
Mon Jul 19 2021 00:00:00 GMT+0530 (India Standard Time),132.25,132.25,126.45,129.05,102.55,3.25,3.22,0.03,19622799
Mon Jul 26 2021 00:00:00 GMT+0530 (India Standard Time),130.65,130.65,125.8,128.21,102.55,2.82,3.14,-0.32,35267677
Mon Aug 02 2021 00:00:00 GMT+0530 (India Standard Time),129.43,133.2,126.95,130.01,104.21,2.59,3.03,-0.44,37702073
Mon Aug 09 2021 00:00:00 GMT+0530 (India Standard Time),129.72,132.6,125.5,129.71,104.21,2.36,2.89,-0.54,52506195
Mon Aug 16 2021 00:00:00 GMT+0530 (India Standard Time),129.72,129.72,119.75,124.39,104.21,1.72,2.66,-0.94,35505230
Mon Aug 23 2021 00:00:00 GMT+0530 (India Standard Time),127.05,127.05,117.5,121.5,104.21,0.98,2.32,-1.35,34302716
Mon Aug 30 2021 00:00:00 GMT+0530 (India Standard Time),124.28,131.9,123.35,127.43,104.21,0.85,2.03,-1.18,54573100
Mon Sep 06 2021 00:00:00 GMT+0530 (India Standard Time),125.85,135.7,125.85,132.68,104.21,1.16,1.86,-0.69,36580739
Mon Sep 13 2021 00:00:00 GMT+0530 (India Standard Time),129.26,148.05,129.26,139.47,107.16,1.94,1.87,0.07,104826569
Mon Sep 20 2021 00:00:00 GMT+0530 (India Standard Time),134.37,154.75,134.37,145.95,108.83,3.04,2.11,0.93,93707402
Mon Sep 27 2021 00:00:00 GMT+0530 (India Standard Time),140.16,181.75,140.16,164.26,112.5,5.33,2.75,2.58,226090520
Mon Oct 04 2021 00:00:00 GMT+0530 (India Standard Time),152.21,188.55,152.21,176.96,113.28,8.07,3.81,4.26,153123700
Mon Oct 11 2021 00:00:00 GMT+0530 (India Standard Time),164.59,185.75,164.59,174.52,117.15,9.94,5.04,4.9,107089731
Mon Oct 18 2021 00:00:00 GMT+0530 (India Standard Time),169.56,173.7,160.05,165.99,117.15,10.6,6.15,4.45,77983196
Mon Oct 25 2021 00:00:00 GMT+0530 (India Standard Time),167.77,167.77,148.05,155.06,117.15,10.13,6.95,3.19,72219390
Mon Nov 01 2021 00:00:00 GMT+0530 (India Standard Time),161.42,161.42,148.55,153.06,117.15,9.49,7.46,2.03,37811855
Mon Nov 08 2021 00:00:00 GMT+0530 (India Standard Time),157.24,158.95,149.95,154.09,117.15,8.96,7.76,1.2,37178122
Mon Nov 15 2021 00:00:00 GMT+0530 (India Standard Time),155.66,155.66,137.75,144.31,117.15,7.66,7.74,-0.08,48364248
Mon Nov 22 2021 00:00:00 GMT+0530 (India Standard Time),149.99,149.99,133.85,139.75,117.15,6.2,7.43,-1.24,77869096
Mon Nov 29 2021 00:00:00 GMT+0530 (India Standard Time),144.87,145.45,136.1,141.68,117.15,5.13,6.97,-1.84,127164826
Mon Dec 06 2021 00:00:00 GMT+0530 (India Standard Time),143.27,143.27,132.85,136.04,117.15,3.78,6.33,-2.55,56207519
Mon Dec 13 2021 00:00:00 GMT+0530 (India Standard Time),139.65,139.65,130.75,134.26,117.15,2.55,5.58,-3.03,40071309
Mon Dec 20 2021 00:00:00 GMT+0530 (India Standard Time),136.96,136.96,123.9,129.7,117.15,1.18,4.7,-3.51,33180638
Mon Dec 27 2021 00:00:00 GMT+0530 (India Standard Time),133.33,134,128.65,130.8,117.15,0.19,3.8,-3.61,42761377
Mon Jan 03 2022 00:00:00 GMT+0530 (India Standard Time),132.06,142.2,131.75,136.91,117.15,-0.1,3.02,-3.12,75811803
Mon Jan 10 2022 00:00:00 GMT+0530 (India Standard Time),134.49,151.2,134.49,146.26,117.15,0.41,2.5,-2.08,59143699
Mon Jan 17 2022 00:00:00 GMT+0530 (India Standard Time),140.38,153,140.38,147.28,117.15,0.9,2.18,-1.28,58390939
Mon Jan 24 2022 00:00:00 GMT+0530 (India Standard Time),143.83,149.75,139.05,144.54,117.15,1.04,1.95,-0.9,37702085
Mon Jan 31 2022 00:00:00 GMT+0530 (India Standard Time),144.18,149.35,143.35,146.5,117.15,1.31,1.82,-0.51,29486159
Mon Feb 07 2022 00:00:00 GMT+0530 (India Standard Time),145.34,155.05,143.1,148.7,117.15,1.67,1.79,-0.12,82931349
Mon Feb 14 2022 00:00:00 GMT+0530 (India Standard Time),147.02,153,144.6,150.13,117.15,2.05,1.84,0.21,67629625
Mon Feb 21 2022 00:00:00 GMT+0530 (India Standard Time),148.57,149.65,133.75,144.88,117.15,1.91,1.86,0.05,63348506
Mon Feb 28 2022 00:00:00 GMT+0530 (India Standard Time),146.72,182.5,145.3,160.19,117.15,2.99,2.08,0.91,203665864
Mon Mar 07 2022 00:00:00 GMT+0530 (India Standard Time),153.46,176.75,153.46,168.94,117.15,4.51,2.57,1.94,124007791
Mon Mar 14 2022 00:00:00 GMT+0530 (India Standard Time),161.2,166.9,156.25,162.55,117.15,5.14,3.08,2.05,54280791
Mon Mar 21 2022 00:00:00 GMT+0530 (India Standard Time),161.87,173.65,161.87,167.34,121.09,5.95,3.66,2.29,72743636
Mon Mar 28 2022 00:00:00 GMT+0530 (India Standard Time),164.61,178.45,164.61,171.65,125.59,6.87,4.3,2.57,62993985
Mon Apr 04 2022 00:00:00 GMT+0530 (India Standard Time),168.13,183.55,168.13,175.61,129.86,7.82,5,2.82,105149337
Mon Apr 11 2022 00:00:00 GMT+0530 (India Standard Time),171.87,182.75,169.05,175.6,130.62,8.48,5.7,2.78,45518202
Mon Apr 18 2022 00:00:00 GMT+0530 (India Standard Time),173.74,193.75,169.35,180.34,132.28,9.27,6.41,2.86,178441282
Mon Apr 25 2022 00:00:00 GMT+0530 (India Standard Time),177.04,186.95,166.65,176.4,132.28,9.48,7.03,2.45,93859716
Mon May 02 2022 00:00:00 GMT+0530 (India Standard Time),176.72,176.72,163.6,169.97,132.28,9.02,7.42,1.59,66438044
Mon May 09 2022 00:00:00 GMT+0530 (India Standard Time),173.35,173.35,149.4,161.06,132.28,7.84,7.51,0.33,73153357
Mon May 16 2022 00:00:00 GMT+0530 (India Standard Time),167.2,172.25,152.6,162.45,132.28,6.94,7.39,-0.45,66716282
Mon May 23 2022 00:00:00 GMT+0530 (India Standard Time),164.83,173.4,162.5,168.3,132.28,6.63,7.24,-0.61,63841706
Mon May 30 2022 00:00:00 GMT+0530 (India Standard Time),166.56,185.75,166.56,175.89,132.28,6.91,7.17,-0.27,105807166
Mon Jun 06 2022 00:00:00 GMT+0530 (India Standard Time),171.23,186.7,171.23,182.29,132.28,7.56,7.25,0.31,65344971
Mon Jun 13 2022 00:00:00 GMT+0530 (India Standard Time),176.76,182.15,163.85,173.7,132.28,7.3,7.26,0.04,50756540
Mon Jun 20 2022 00:00:00 GMT+0530 (India Standard Time),175.23,175.23,159.5,164.46,132.28,6.28,7.06,-0.79,54876857
Mon Jun 27 2022 00:00:00 GMT+0530 (India Standard Time),169.85,175,161.35,167.28,132.28,5.63,6.78,-1.15,59706764
Mon Jul 04 2022 00:00:00 GMT+0530 (India Standard Time),168.56,176.65,162.75,170.49,132.28,5.31,6.48,-1.17,44431768
Mon Jul 11 2022 00:00:00 GMT+0530 (India Standard Time),169.52,180.9,169.52,176.33,132.28,5.47,6.28,-0.81,36240409
Mon Jul 18 2022 00:00:00 GMT+0530 (India Standard Time),172.92,185.15,172.92,181.21,134.13,5.92,6.21,-0.29,34045898
Mon Jul 25 2022 00:00:00 GMT+0530 (India Standard Time),177.07,197.2,177.07,188.7,140.01,6.8,6.33,0.47,47977386
Mon Aug 01 2022 00:00:00 GMT+0530 (India Standard Time),182.88,202,182.88,195.74,143.86,7.98,6.66,1.32,70472794
Mon Aug 08 2022 00:00:00 GMT+0530 (India Standard Time),189.31,211.55,189.31,201,149.26,9.23,7.17,2.06,68287487
Mon Aug 15 2022 00:00:00 GMT+0530 (India Standard Time),195.16,209.15,195.16,205.16,152.29,10.43,7.82,2.61,26980416
Mon Aug 22 2022 00:00:00 GMT+0530 (India Standard Time),200.16,216.75,198.8,207.65,157.35,11.46,8.55,2.91,56311778
Mon Aug 29 2022 00:00:00 GMT+0530 (India Standard Time),203.9,221.55,203.9,211.98,161.94,12.47,9.34,3.14,36030218
Mon Sep 05 2022 00:00:00 GMT+0530 (India Standard Time),207.94,225.25,207.94,218.9,165.64,13.68,10.2,3.48,39082466
Mon Sep 12 2022 00:00:00 GMT+0530 (India Standard Time),213.42,223.8,212.75,218.9,169.87,14.47,11.06,3.41,50780458
Mon Sep 19 2022 00:00:00 GMT+0530 (India Standard Time),216.16,218.55,205.75,211.9,169.87,14.37,11.72,2.65,29748029
Mon Sep 26 2022 00:00:00 GMT+0530 (India Standard Time),214.03,214.03,192.6,200.55,169.87,13.22,12.02,1.2,41600329
Mon Oct 03 2022 00:00:00 GMT+0530 (India Standard Time),207.29,218.85,197.05,207.03,169.87,12.68,12.15,0.53,49697009
Mon Oct 10 2022 00:00:00 GMT+0530 (India Standard Time),207.16,223.7,207.16,216.33,169.87,12.86,12.29,0.57,52736086
Mon Oct 17 2022 00:00:00 GMT+0530 (India Standard Time),211.74,227.75,211.74,222.49,169.87,13.34,12.5,0.84,40226050
Mon Oct 24 2022 00:00:00 GMT+0530 (India Standard Time),217.11,232.55,217.11,227.51,174.44,13.97,12.8,1.17,28206290
Mon Oct 31 2022 00:00:00 GMT+0530 (India Standard Time),222.31,234.35,222.31,230.41,179.98,14.53,13.14,1.39,44418941
Mon Nov 07 2022 00:00:00 GMT+0530 (India Standard Time),226.36,248.15,226.36,237.43,186.47,15.37,13.59,1.78,91902683
Mon Nov 14 2022 00:00:00 GMT+0530 (India Standard Time),231.89,241,212.95,226.89,186.47,15.01,13.87,1.14,60903810
Mon Nov 21 2022 00:00:00 GMT+0530 (India Standard Time),229.39,229.39,211.45,214.94,186.47,13.6,13.82,-0.22,36255281
Mon Nov 28 2022 00:00:00 GMT+0530 (India Standard Time),222.16,222.16,209.65,213.45,186.47,12.23,13.5,-1.27,55691678
Mon Dec 05 2022 00:00:00 GMT+0530 (India Standard Time),217.81,217.81,211.25,213.36,186.47,11,13,-2,27979968
Mon Dec 12 2022 00:00:00 GMT+0530 (India Standard Time),215.58,219.2,208.05,212.44,186.47,9.84,12.37,-2.53,30468412
Mon Dec 19 2022 00:00:00 GMT+0530 (India Standard Time),214.01,214.01,198.95,205.19,186.47,8.25,11.54,-3.3,22849744
Mon Dec 26 2022 00:00:00 GMT+0530 (India Standard Time),209.6,211.2,199,204.95,186.47,6.88,10.61,-3.73,17980400
Mon Jan 02 2023 00:00:00 GMT+0530 (India Standard Time),207.27,211.95,196.75,204.8,186.47,5.72,9.63,-3.91,38456611
Mon Jan 09 2023 00:00:00 GMT+0530 (India Standard Time),206.04,206.04,196.95,200.04,186.47,4.37,8.58,-4.21,30838274
